
Battery Power : 100,Power Consumption : 0,Inverter Mode : 1,
Battery Power : 100,Power Consumption : 0,Inverter Mode : 1,
Battery Power : 100,Power Consumption : 0,Inverter Mode : 1,
Battery Power : 100,Power Consumption : 0,Inverter Mode : 1,
Battery Power : 100,Power Consumption : 0,Inverter Mode : 1,
Battery Power : 100,Power Consumption : 0,Inverter Mode : 1,
Battery Power : 100,Power Consumption : 0,Inverter Mode : 1,
Battery Power : 100,Power Consumption : 0,Inverter Mode : 1,
Battery Power : 100,Power Consumption : 0,Inverter Mode : 1,
Battery Power : 100,Power Consumption : 0,Inverter Mode : 1,
Battery Power : 100,Power Consumption : 0,Inverter Mode : 1,
Battery Power : 100,Power Consumption : 0,Inverter Mode : 1,
Battery Power : 95,Power Consumption : 5,Inverter Mode : 1,
Battery Power : 89,Power Consumption : 5,Inverter Mode : 1,
Battery Power : 84,Power Consumption : 5,Inverter Mode : 1,
Battery Power : 74,Power Consumption : 9,Inverter Mode : 1,
Battery Power : 75,Power Consumption : 9,Inverter Mode : 0,
Battery Power : 78,Power Consumption : 7,Inverter Mode : 0,
Battery Power : 84,Power Consumption : 4,Inverter Mode : 0,
Battery Power : 90,Power Consumption : 4,Inverter Mode : 0,
Battery Power : 85,Power Consumption : 4,Inverter Mode : 1,
Battery Power : 81,Power Consumption : 4,Inverter Mode : 1,
Battery Power : 77,Power Consumption : 4,Inverter Mode : 1,
