Time String,Event String,Event data String
13-03-2025 16:02:55,Start Shutdown Purge,0.402293
13-03-2025 16:02:55,Start Shutdown Purge,0.502840
13-03-2025 16:02:55,Start Shutdown Purge,0.602921
13-03-2025 16:02:55,Start Shutdown Purge,0.702627
13-03-2025 16:02:55,Start Shutdown Purge,0.803339
13-03-2025 16:02:55,Start Shutdown Purge,0.905024
13-03-2025 16:02:55,Start Shutdown Purge,1.005510
13-03-2025 16:02:55,Start Shutdown Purge,1.106650
13-03-2025 16:02:55,Start Shutdown Purge,1.206393
13-03-2025 16:02:55,Start Shutdown Purge,1.307576
13-03-2025 16:02:55,Start Shutdown Purge,1.408878
13-03-2025 16:02:55,Start Shutdown Purge,1.509317
13-03-2025 16:02:55,Start Shutdown Purge,1.609290
13-03-2025 16:02:55,Start Shutdown Purge,1.711205
13-03-2025 16:02:55,Start Shutdown Purge,1.810522
13-03-2025 16:02:55,Start Shutdown Purge,1.911164
13-03-2025 16:02:55,Start Shutdown Purge,2.010606
13-03-2025 16:02:55,Start Shutdown Purge,2.110802
13-03-2025 16:02:55,Start Shutdown Purge,2.210786
13-03-2025 16:02:55,Start Shutdown Purge,2.310796
13-03-2025 16:02:55,Start Shutdown Purge,2.410912
13-03-2025 16:02:55,Start Shutdown Purge,2.511751
13-03-2025 16:02:55,Start Shutdown Purge,2.611515
13-03-2025 16:02:55,Start Shutdown Purge,2.711485
13-03-2025 16:02:55,Start Shutdown Purge,2.813439
13-03-2025 16:02:55,Start Shutdown Purge,2.913741
13-03-2025 16:02:55,Start Shutdown Purge,3.014563
13-03-2025 16:02:55,Start Shutdown Purge,3.114672
13-03-2025 16:02:55,Start Shutdown Purge,3.214356
13-03-2025 16:02:55,Start Shutdown Purge,3.314764
13-03-2025 16:02:55,Start Shutdown Purge,3.414613
13-03-2025 16:02:55,Start Shutdown Purge,3.515382
13-03-2025 16:02:55,Start Shutdown Purge,3.616160
13-03-2025 16:02:55,Start Shutdown Purge,3.716324
13-03-2025 16:02:55,Start Shutdown Purge,3.816624
13-03-2025 16:02:55,Start Shutdown Purge,3.916505
13-03-2025 16:02:55,Start Shutdown Purge,4.017054
13-03-2025 16:02:55,Start Shutdown Purge,4.116870
13-03-2025 16:02:55,Start Shutdown Purge,4.216553
13-03-2025 16:02:55,Start Shutdown Purge,4.318115
13-03-2025 16:02:55,Start Shutdown Purge,4.418866
13-03-2025 16:02:55,Start Shutdown Purge,4.518573
13-03-2025 16:02:55,Start Shutdown Purge,4.619341
13-03-2025 16:02:55,Start Shutdown Purge,4.719239
13-03-2025 16:02:55,Start Shutdown Purge,4.819958
13-03-2025 16:02:55,Start Shutdown Purge,4.920759
13-03-2025 16:02:55,Start Shutdown Purge,5.021572
13-03-2025 16:02:55,Start Shutdown Purge,5.122962
13-03-2025 16:02:55,Start Shutdown Purge,5.222999
13-03-2025 16:02:55,Start Shutdown Purge,5.322706
13-03-2025 16:02:55,Start Shutdown Purge,5.423691
13-03-2025 16:02:55,Start Shutdown Purge,5.525090
13-03-2025 16:02:55,Start Shutdown Purge,5.624802
13-03-2025 16:02:55,Start Shutdown Purge,5.725929
13-03-2025 16:02:55,Start Shutdown Purge,5.826663
13-03-2025 16:02:55,Start Shutdown Purge,5.926669
13-03-2025 16:02:55,Start Shutdown Purge,6.028097
13-03-2025 16:02:55,Start Shutdown Purge,6.127581
13-03-2025 16:02:55,Start Shutdown Purge,6.227789
13-03-2025 16:02:55,Start Shutdown Purge,6.328014
13-03-2025 16:02:55,Start Shutdown Purge,6.427966
13-03-2025 16:02:55,Start Shutdown Purge,6.529091
13-03-2025 16:02:55,Start Shutdown Purge,6.629293
13-03-2025 16:02:55,Start Shutdown Purge,6.728503
13-03-2025 16:02:55,Start Shutdown Purge,6.829972
